State,District,Soil Type,Crop Type,Best Time of Harvest,Crop_Yield_ton,Temperature_C,Rainfall_mm,Suitable Fertilizer,Suitable Pesticide,Irrigation Method,Next Crop
Tamil Nadu,Chennai,Laterite,Bajra,March-April,5.9098,35.0,906.1,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Mixed Vegetables
Rajasthan,Jaipur,Laterite,Sugarcane,September-October,5.9098,36.9,164.5,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Mixed Vegetables
Tamil Nadu,Trichy,Red,Jowar,December-January,5.9098,30.4,836.7,Zinc Sulfate,Dimethoate,Traditional Method,Pulses
Tamil Nadu,Madurai,Laterite,Wheat,September-October,5.231,35.8,644.0,Urea,Chlorpyrifos,Sprinkler Irrigation,Mixed Vegetables
Tamil Nadu,Coimbatore,Loamy,Pulses,September-October,5.9098,26.1,945.3,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Bihar,Patna,Black,Sugarcane,September-October,5.9098,38.5,888.6,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Wheat
West Bengal,Darjeeling,Loamy,Bajra,September-October,5.9098,31.2,1009.3,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
West Bengal,Siliguri,Alluvial,Tea,March-April,5.9098,26.3,1205.2,Organic Compost,Thiamethoxam,Drip Irrigation,Maize
Punjab,Ludhiana,Alluvial,Wheat,December-January,5.231,31.9,546.1,Urea,Chlorpyrifos,Sprinkler Irrigation,Rice
Gujarat,Surat,Laterite,Sugarcane,September-October,5.9098,20.0,337.6,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Mixed Vegetables
Karnataka,Belgaum,Red,Tea,September-October,5.9098,34.3,815.1,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Maharashtra,Nagpur,Red,Sugarcane,August-September,5.9098,31.6,1013.6,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
West Bengal,Kolkata,Black,Maize,March-April,5.9098,29.6,1556.0,NPK,Cypermethrin,Sprinkler Irrigation,Wheat
Punjab,Ludhiana,Black,Jowar,March-April,5.9098,12.5,404.4,Zinc Sulfate,Dimethoate,Traditional Method,Wheat
Uttar Pradesh,Lucknow,Alluvial,Maize,September-October,5.9098,12.6,971.3,NPK,Cypermethrin,Sprinkler Irrigation,Maize
Tamil Nadu,Trichy,Sandy,Jowar,December-January,5.9098,32.4,933.3,Zinc Sulfate,Dimethoate,Traditional Method,Bajra
Gujarat,Surat,Laterite,Bajra,August-September,5.9098,41.4,361.3,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Mixed Vegetables
Rajasthan,Jodhpur,Loamy,Cotton,August-September,5.9098,27.4,399.8,Potash,Imidacloprid,Furrow Irrigation,Pulses
Rajasthan,Jodhpur,Alluvial,Cotton,December-January,5.9098,19.2,448.8,Potash,Imidacloprid,Furrow Irrigation,Maize
Gujarat,Vadodara,Loamy,Bajra,October-November,5.9098,37.8,385.5,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Bihar,Bhagalpur,Loamy,Cotton,October-November,5.9098,34.3,1106.2,Potash,Imidacloprid,Furrow Irrigation,Pulses
Punjab,Jalandhar,Red,Coffee,December-January,5.9098,27.9,681.8,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Cotton
Karnataka,Mysore,Alluvial,Pulses,September-October,5.9098,24.2,1255.6,Bio-fertilizer,Mancozeb,Traditional Method,Maize
Rajasthan,Jodhpur,Sandy,Sugarcane,September-October,5.9098,8.9,310.5,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Bajra
Rajasthan,Jaipur,Loamy,Bajra,October-November,5.9098,14.9,352.0,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Karnataka,Bangalore,Sandy,Sugarcane,December-January,5.9098,23.9,1577.7,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Bajra
Bihar,Gaya,Laterite,Pulses,December-January,5.9098,17.5,911.0,Bio-fertilizer,Mancozeb,Traditional Method,Mixed Vegetables
Karnataka,Bangalore,Red,Maize,August-September,5.9098,22.4,1100.3,NPK,Cypermethrin,Sprinkler Irrigation,Pulses
Gujarat,Rajkot,Alluvial,Wheat,March-April,5.231,43.6,446.7,Urea,Chlorpyrifos,Sprinkler Irrigation,Rice
Tamil Nadu,Coimbatore,Alluvial,Wheat,October-November,5.231,22.5,1212.8,Urea,Chlorpyrifos,Sprinkler Irrigation,Rice
Punjab,Amritsar,Sandy,Rice,September-October,6.6054,37.9,453.0,DAP,Carbendazim,Terrace Farming,Bajra
Rajasthan,Jodhpur,Alluvial,Sugarcane,December-January,5.9098,39.4,346.4,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Tamil Nadu,Madurai,Laterite,Rice,December-January,6.6054,33.5,875.6,DAP,Carbendazim,Terrace Farming,Mixed Vegetables
Punjab,Jalandhar,Black,Rice,October-November,6.6054,29.8,482.3,DAP,Carbendazim,Terrace Farming,Wheat
Punjab,Patiala,Loamy,Bajra,October-November,5.9098,12.5,543.4,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Gujarat,Ahmedabad,Sandy,Bajra,September-October,5.9098,38.4,491.7,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Bajra
Punjab,Ludhiana,Loamy,Wheat,August-September,5.231,20.8,451.2,Urea,Chlorpyrifos,Sprinkler Irrigation,Maize
Gujarat,Vadodara,Loamy,Sugarcane,October-November,5.9098,34.5,786.7,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Tamil Nadu,Chennai,Laterite,Wheat,December-January,5.231,29.2,668.6,Urea,Chlorpyrifos,Sprinkler Irrigation,Mixed Vegetables
Karnataka,Bangalore,Red,Sugarcane,September-October,5.9098,18.2,1486.1,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Karnataka,Hubli,Alluvial,Jowar,August-September,5.9098,24.9,1432.2,Zinc Sulfate,Dimethoate,Traditional Method,Maize
Tamil Nadu,Madurai,Sandy,Tea,August-September,5.9098,31.1,1396.9,Organic Compost,Thiamethoxam,Drip Irrigation,Bajra
West Bengal,Siliguri,Alluvial,Jowar,March-April,5.9098,23.0,1655.2,Zinc Sulfate,Dimethoate,Traditional Method,Maize
Gujarat,Surat,Alluvial,Pulses,December-January,5.9098,28.7,416.3,Bio-fertilizer,Mancozeb,Traditional Method,Maize
Madhya Pradesh,Indore,Black,Bajra,September-October,5.9098,40.7,767.9,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
Punjab,Amritsar,Alluvial,Bajra,March-April,5.9098,39.3,339.9,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Rajasthan,Kota,Loamy,Sugarcane,March-April,5.9098,7.0,380.7,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Madhya Pradesh,Bhopal,Sandy,Maize,March-April,5.9098,38.2,571.2,NPK,Cypermethrin,Sprinkler Irrigation,Bajra
Madhya Pradesh,Indore,Red,Pulses,October-November,5.9098,16.4,824.2,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Punjab,Jalandhar,Black,Tea,September-October,5.9098,15.7,477.1,Organic Compost,Thiamethoxam,Drip Irrigation,Wheat
Karnataka,Hubli,Red,Jowar,August-September,5.9098,20.1,717.8,Zinc Sulfate,Dimethoate,Traditional Method,Pulses
Madhya Pradesh,Bhopal,Red,Pulses,September-October,5.9098,37.9,312.3,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Rajasthan,Jaipur,Laterite,Wheat,March-April,5.231,15.1,227.3,Urea,Chlorpyrifos,Sprinkler Irrigation,Mixed Vegetables
Maharashtra,Nashik,Sandy,Coffee,September-October,5.9098,33.5,795.4,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Bajra
Punjab,Patiala,Sandy,Maize,August-September,5.9098,15.1,553.1,NPK,Cypermethrin,Sprinkler Irrigation,Bajra
Punjab,Patiala,Sandy,Coffee,September-October,5.9098,15.0,614.6,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Bajra
Maharashtra,Pune,Black,Bajra,October-November,5.9098,41.7,874.3,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
Tamil Nadu,Trichy,Alluvial,Pulses,March-April,5.9098,30.5,1073.0,Bio-fertilizer,Mancozeb,Traditional Method,Maize
West Bengal,Howrah,Loamy,Coffee,October-November,5.9098,23.9,807.7,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Pulses
Tamil Nadu,Madurai,Loamy,Wheat,September-October,5.231,21.6,943.5,Urea,Chlorpyrifos,Sprinkler Irrigation,Maize
Bihar,Muzaffarpur,Laterite,Rice,December-January,6.6054,32.3,996.0,DAP,Carbendazim,Terrace Farming,Mixed Vegetables
Uttar Pradesh,Lucknow,Red,Pulses,March-April,5.9098,39.5,874.8,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Maharashtra,Mumbai,Alluvial,Maize,August-September,5.9098,36.8,980.9,NPK,Cypermethrin,Sprinkler Irrigation,Maize
Bihar,Muzaffarpur,Laterite,Jowar,October-November,5.9098,14.4,1169.0,Zinc Sulfate,Dimethoate,Traditional Method,Mixed Vegetables
Bihar,Bhagalpur,Loamy,Wheat,December-January,5.231,17.3,961.7,Urea,Chlorpyrifos,Sprinkler Irrigation,Maize
Uttar Pradesh,Lucknow,Sandy,Tea,August-September,5.9098,20.4,980.2,Organic Compost,Thiamethoxam,Drip Irrigation,Bajra
Uttar Pradesh,Lucknow,Black,Jowar,September-October,5.9098,15.4,482.8,Zinc Sulfate,Dimethoate,Traditional Method,Wheat
Madhya Pradesh,Jabalpur,Sandy,Sugarcane,December-January,5.9098,14.8,354.4,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Bajra
Uttar Pradesh,Agra,Sandy,Pulses,August-September,5.9098,32.5,525.2,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
Maharashtra,Nashik,Laterite,Wheat,September-October,5.231,29.8,1043.8,Urea,Chlorpyrifos,Sprinkler Irrigation,Mixed Vegetables
Maharashtra,Mumbai,Black,Pulses,March-April,5.9098,37.5,891.3,Bio-fertilizer,Mancozeb,Traditional Method,Wheat
Madhya Pradesh,Indore,Red,Jowar,March-April,5.9098,14.5,512.4,Zinc Sulfate,Dimethoate,Traditional Method,Pulses
Tamil Nadu,Coimbatore,Laterite,Pulses,December-January,5.9098,33.0,638.9,Bio-fertilizer,Mancozeb,Traditional Method,Mixed Vegetables
Bihar,Gaya,Laterite,Pulses,September-October,5.9098,28.2,1200.4,Bio-fertilizer,Mancozeb,Traditional Method,Mixed Vegetables
Bihar,Muzaffarpur,Alluvial,Pulses,August-September,5.9098,12.1,830.6,Bio-fertilizer,Mancozeb,Traditional Method,Maize
Punjab,Amritsar,Loamy,Pulses,September-October,5.9098,36.7,565.6,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Gujarat,Surat,Red,Pulses,August-September,5.9098,14.0,261.0,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Uttar Pradesh,Agra,Sandy,Jowar,August-September,5.9098,14.1,747.0,Zinc Sulfate,Dimethoate,Traditional Method,Bajra
Rajasthan,Jaipur,Alluvial,Rice,October-November,6.6054,18.4,338.1,DAP,Carbendazim,Terrace Farming,Maize
Maharashtra,Nagpur,Laterite,Bajra,August-September,5.9098,30.1,757.5,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Mixed Vegetables
Punjab,Amritsar,Black,Bajra,March-April,5.9098,23.9,573.5,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
Madhya Pradesh,Indore,Laterite,Wheat,September-October,5.231,14.0,386.7,Urea,Chlorpyrifos,Sprinkler Irrigation,Mixed Vegetables
Maharashtra,Nashik,Black,Rice,August-September,6.6054,36.4,539.8,DAP,Carbendazim,Terrace Farming,Wheat
West Bengal,Darjeeling,Loamy,Sugarcane,October-November,5.9098,35.4,1468.4,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Rajasthan,Jodhpur,Black,Rice,September-October,6.6054,9.6,148.1,DAP,Carbendazim,Terrace Farming,Wheat
Maharashtra,Mumbai,Black,Coffee,September-October,5.9098,19.9,1081.2,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Wheat
Madhya Pradesh,Jabalpur,Loamy,Rice,September-October,6.6054,29.4,410.6,DAP,Carbendazim,Terrace Farming,Barley
Karnataka,Mysore,Laterite,Pulses,October-November,5.9098,17.5,1294.1,Bio-fertilizer,Mancozeb,Traditional Method,Mixed Vegetables
Gujarat,Surat,Laterite,Bajra,October-November,5.9098,22.8,799.8,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Mixed Vegetables
Maharashtra,Nashik,Sandy,Jowar,December-January,5.9098,25.4,964.2,Zinc Sulfate,Dimethoate,Traditional Method,Bajra
West Bengal,Kolkata,Laterite,Wheat,December-January,5.231,23.4,1600.5,Urea,Chlorpyrifos,Sprinkler Irrigation,Mixed Vegetables
Maharashtra,Pune,Loamy,Coffee,October-November,5.9098,33.2,804.4,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Pulses
Punjab,Patiala,Red,Jowar,December-January,5.9098,18.6,324.3,Zinc Sulfate,Dimethoate,Traditional Method,Pulses
Maharashtra,Nashik,Sandy,Jowar,September-October,5.9098,33.4,1074.0,Zinc Sulfate,Dimethoate,Traditional Method,Bajra
Gujarat,Surat,Black,Wheat,March-April,5.231,40.2,697.0,Urea,Chlorpyrifos,Sprinkler Irrigation,Wheat
West Bengal,Siliguri,Alluvial,Rice,March-April,6.6054,28.6,1683.5,DAP,Carbendazim,Terrace Farming,Maize
Karnataka,Belgaum,Alluvial,Wheat,August-September,5.231,32.3,1034.2,Urea,Chlorpyrifos,Sprinkler Irrigation,Rice
Karnataka,Hubli,Sandy,Maize,October-November,5.9098,17.1,863.6,NPK,Cypermethrin,Sprinkler Irrigation,Bajra
Punjab,Amritsar,Sandy,Coffee,October-November,5.9098,22.5,320.2,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Bajra
Uttar Pradesh,Lucknow,Sandy,Wheat,December-January,5.231,34.1,656.2,Urea,Chlorpyrifos,Sprinkler Irrigation,Bajra
Madhya Pradesh,Jabalpur,Sandy,Wheat,March-April,5.231,33.2,616.5,Urea,Chlorpyrifos,Sprinkler Irrigation,Bajra
Uttar Pradesh,Kanpur,Sandy,Cotton,September-October,5.9098,24.8,718.6,Potash,Imidacloprid,Furrow Irrigation,Bajra
Gujarat,Surat,Red,Jowar,December-January,5.9098,24.8,459.0,Zinc Sulfate,Dimethoate,Traditional Method,Pulses
Bihar,Gaya,Black,Rice,August-September,6.6054,19.4,1071.7,DAP,Carbendazim,Terrace Farming,Wheat
Bihar,Patna,Alluvial,Bajra,September-October,5.9098,35.9,1100.5,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Tamil Nadu,Trichy,Loamy,Tea,August-September,5.9098,30.7,780.2,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Gujarat,Vadodara,Alluvial,Tea,December-January,5.9098,41.5,648.6,Organic Compost,Thiamethoxam,Drip Irrigation,Maize
Madhya Pradesh,Jabalpur,Alluvial,Coffee,September-October,5.9098,34.2,444.4,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Maize
Gujarat,Surat,Sandy,Tea,September-October,5.9098,16.9,241.1,Organic Compost,Thiamethoxam,Drip Irrigation,Bajra
Bihar,Bhagalpur,Sandy,Pulses,September-October,5.9098,34.0,936.7,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
Rajasthan,Udaipur,Laterite,Wheat,September-October,5.231,18.9,102.8,Urea,Chlorpyrifos,Sprinkler Irrigation,Mixed Vegetables
Bihar,Muzaffarpur,Laterite,Tea,September-October,5.9098,19.9,1008.6,Organic Compost,Thiamethoxam,Drip Irrigation,Mixed Vegetables
Gujarat,Ahmedabad,Laterite,Wheat,September-October,5.231,42.2,450.9,Urea,Chlorpyrifos,Sprinkler Irrigation,Mixed Vegetables
Karnataka,Belgaum,Laterite,Wheat,August-September,5.231,31.2,1296.3,Urea,Chlorpyrifos,Sprinkler Irrigation,Mixed Vegetables
West Bengal,Siliguri,Sandy,Bajra,September-October,5.9098,35.7,1007.5,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Bajra
Rajasthan,Jodhpur,Laterite,Coffee,October-November,5.9098,16.1,247.4,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Mixed Vegetables
Tamil Nadu,Coimbatore,Alluvial,Coffee,August-September,5.9098,34.8,772.0,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Maize
West Bengal,Kolkata,Alluvial,Wheat,September-October,5.231,26.7,1548.4,Urea,Chlorpyrifos,Sprinkler Irrigation,Rice
Karnataka,Hubli,Laterite,Bajra,March-April,5.9098,17.3,636.0,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Mixed Vegetables
Karnataka,Belgaum,Red,Rice,August-September,6.6054,21.1,1114.5,DAP,Carbendazim,Terrace Farming,Pulses
Gujarat,Ahmedabad,Laterite,Tea,August-September,5.9098,30.2,219.8,Organic Compost,Thiamethoxam,Drip Irrigation,Mixed Vegetables
West Bengal,Darjeeling,Loamy,Wheat,December-January,5.231,24.6,1294.8,Urea,Chlorpyrifos,Sprinkler Irrigation,Maize
Maharashtra,Pune,Sandy,Sugarcane,October-November,5.9098,30.1,638.9,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Bajra
Maharashtra,Mumbai,Black,Jowar,December-January,5.9098,38.0,849.8,Zinc Sulfate,Dimethoate,Traditional Method,Wheat
Rajasthan,Jaipur,Loamy,Jowar,September-October,5.9098,43.6,372.3,Zinc Sulfate,Dimethoate,Traditional Method,Pulses
Gujarat,Surat,Laterite,Coffee,December-January,5.9098,12.1,608.1,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Mixed Vegetables
Maharashtra,Pune,Alluvial,Jowar,October-November,5.9098,30.7,783.6,Zinc Sulfate,Dimethoate,Traditional Method,Maize
Rajasthan,Jodhpur,Loamy,Cotton,October-November,5.9098,32.8,144.7,Potash,Imidacloprid,Furrow Irrigation,Pulses
Tamil Nadu,Madurai,Red,Cotton,October-November,5.9098,34.7,1439.7,Potash,Imidacloprid,Furrow Irrigation,Sugarcane
Uttar Pradesh,Varanasi,Red,Cotton,March-April,5.9098,33.5,831.7,Potash,Imidacloprid,Furrow Irrigation,Sugarcane
Gujarat,Ahmedabad,Red,Pulses,October-November,5.9098,23.5,394.2,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Punjab,Ludhiana,Alluvial,Rice,September-October,6.6054,10.1,609.0,DAP,Carbendazim,Terrace Farming,Maize
Rajasthan,Jaipur,Black,Maize,September-October,5.9098,38.9,231.7,NPK,Cypermethrin,Sprinkler Irrigation,Wheat
Maharashtra,Mumbai,Laterite,Maize,August-September,5.9098,32.6,688.7,NPK,Cypermethrin,Sprinkler Irrigation,Mixed Vegetables
Tamil Nadu,Chennai,Black,Tea,March-April,5.9098,30.3,1137.1,Organic Compost,Thiamethoxam,Drip Irrigation,Wheat
Madhya Pradesh,Gwalior,Alluvial,Rice,October-November,6.6054,41.9,617.5,DAP,Carbendazim,Terrace Farming,Maize
West Bengal,Kolkata,Black,Maize,August-September,5.9098,31.2,1944.5,NPK,Cypermethrin,Sprinkler Irrigation,Wheat
Tamil Nadu,Chennai,Loamy,Cotton,August-September,5.9098,28.9,1336.6,Potash,Imidacloprid,Furrow Irrigation,Pulses
Bihar,Bhagalpur,Red,Wheat,March-April,5.231,33.6,796.2,Urea,Chlorpyrifos,Sprinkler Irrigation,Pulses
West Bengal,Darjeeling,Alluvial,Sugarcane,September-October,5.9098,36.9,1083.2,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Gujarat,Surat,Black,Wheat,September-October,5.231,35.5,698.2,Urea,Chlorpyrifos,Sprinkler Irrigation,Wheat
Uttar Pradesh,Kanpur,Alluvial,Bajra,December-January,5.9098,17.7,412.9,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Tamil Nadu,Trichy,Black,Maize,October-November,5.9098,27.7,736.5,NPK,Cypermethrin,Sprinkler Irrigation,Wheat
Punjab,Jalandhar,Sandy,Coffee,March-April,5.9098,37.0,449.0,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Bajra
West Bengal,Siliguri,Laterite,Jowar,March-April,5.9098,21.8,1322.6,Zinc Sulfate,Dimethoate,Traditional Method,Mixed Vegetables
Madhya Pradesh,Gwalior,Red,Tea,August-September,5.9098,18.0,755.1,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Gujarat,Surat,Red,Pulses,August-September,5.9098,42.3,649.3,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Rajasthan,Jodhpur,Red,Jowar,August-September,5.9098,31.8,391.7,Zinc Sulfate,Dimethoate,Traditional Method,Pulses
Tamil Nadu,Chennai,Red,Wheat,August-September,5.231,26.1,816.4,Urea,Chlorpyrifos,Sprinkler Irrigation,Pulses
Karnataka,Mysore,Red,Tea,October-November,5.9098,31.6,1342.0,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Rajasthan,Udaipur,Laterite,Jowar,December-January,5.9098,21.5,275.4,Zinc Sulfate,Dimethoate,Traditional Method,Mixed Vegetables
West Bengal,Siliguri,Red,Wheat,August-September,5.231,29.8,1074.5,Urea,Chlorpyrifos,Sprinkler Irrigation,Pulses
Bihar,Bhagalpur,Sandy,Cotton,August-September,5.9098,20.2,750.2,Potash,Imidacloprid,Furrow Irrigation,Bajra
Tamil Nadu,Trichy,Loamy,Pulses,August-September,5.9098,25.0,1057.1,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Madhya Pradesh,Indore,Sandy,Wheat,September-October,5.231,11.4,864.2,Urea,Chlorpyrifos,Sprinkler Irrigation,Bajra
Uttar Pradesh,Kanpur,Red,Wheat,August-September,5.231,14.6,816.0,Urea,Chlorpyrifos,Sprinkler Irrigation,Pulses
Gujarat,Ahmedabad,Loamy,Pulses,September-October,5.9098,17.1,709.3,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Rajasthan,Kota,Sandy,Pulses,March-April,5.9098,12.5,214.8,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
Gujarat,Rajkot,Laterite,Tea,October-November,5.9098,12.9,521.9,Organic Compost,Thiamethoxam,Drip Irrigation,Mixed Vegetables
Punjab,Amritsar,Alluvial,Bajra,August-September,5.9098,26.9,396.3,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Tamil Nadu,Coimbatore,Alluvial,Jowar,October-November,5.9098,29.1,788.7,Zinc Sulfate,Dimethoate,Traditional Method,Maize
Punjab,Patiala,Laterite,Coffee,August-September,5.9098,21.1,531.3,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Mixed Vegetables
Bihar,Bhagalpur,Alluvial,Coffee,August-September,5.9098,34.2,1143.1,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Maize
Gujarat,Vadodara,Sandy,Sugarcane,September-October,5.9098,16.7,248.3,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Bajra
West Bengal,Darjeeling,Black,Bajra,August-September,5.9098,24.6,1472.0,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
Maharashtra,Nagpur,Loamy,Maize,September-October,5.9098,38.8,1116.4,NPK,Cypermethrin,Sprinkler Irrigation,Pulses
Karnataka,Hubli,Loamy,Pulses,March-April,5.9098,15.6,843.2,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Bihar,Patna,Black,Coffee,September-October,5.9098,23.3,1098.7,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Wheat
Gujarat,Surat,Red,Tea,September-October,5.9098,37.9,353.5,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Punjab,Amritsar,Red,Maize,October-November,5.9098,23.8,335.6,NPK,Cypermethrin,Sprinkler Irrigation,Pulses
Tamil Nadu,Chennai,Black,Jowar,August-September,5.9098,24.0,1106.6,Zinc Sulfate,Dimethoate,Traditional Method,Wheat
Punjab,Amritsar,Loamy,Rice,December-January,6.6054,21.8,593.0,DAP,Carbendazim,Terrace Farming,Barley
Maharashtra,Nashik,Black,Bajra,August-September,5.9098,15.6,994.1,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
Madhya Pradesh,Gwalior,Alluvial,Cotton,October-November,5.9098,25.4,785.1,Potash,Imidacloprid,Furrow Irrigation,Maize
Maharashtra,Nagpur,Alluvial,Coffee,October-November,5.9098,26.3,597.7,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Maize
Bihar,Bhagalpur,Loamy,Wheat,August-September,5.231,16.4,1276.8,Urea,Chlorpyrifos,Sprinkler Irrigation,Maize
Tamil Nadu,Madurai,Laterite,Jowar,August-September,5.9098,23.8,625.1,Zinc Sulfate,Dimethoate,Traditional Method,Mixed Vegetables
Madhya Pradesh,Gwalior,Sandy,Sugarcane,September-October,5.9098,28.0,654.6,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Bajra
Gujarat,Rajkot,Black,Rice,September-October,6.6054,27.3,434.9,DAP,Carbendazim,Terrace Farming,Wheat
Tamil Nadu,Madurai,Red,Maize,October-November,5.9098,32.9,879.9,NPK,Cypermethrin,Sprinkler Irrigation,Pulses
Uttar Pradesh,Agra,Laterite,Sugarcane,December-January,5.9098,36.6,577.9,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Mixed Vegetables
Tamil Nadu,Coimbatore,Alluvial,Bajra,September-October,5.9098,23.2,1209.7,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Madhya Pradesh,Jabalpur,Sandy,Sugarcane,March-April,5.9098,10.4,825.8,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Bajra
Tamil Nadu,Coimbatore,Red,Rice,October-November,6.6054,24.4,601.0,DAP,Carbendazim,Terrace Farming,Pulses
Tamil Nadu,Madurai,Sandy,Sugarcane,December-January,5.9098,24.1,741.0,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Bajra
Bihar,Patna,Black,Bajra,August-September,5.9098,20.8,783.6,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
Bihar,Bhagalpur,Loamy,Cotton,March-April,5.9098,12.3,1215.1,Potash,Imidacloprid,Furrow Irrigation,Pulses
Tamil Nadu,Trichy,Alluvial,Bajra,March-April,5.9098,27.8,1343.3,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Madhya Pradesh,Indore,Sandy,Wheat,October-November,5.231,12.6,537.8,Urea,Chlorpyrifos,Sprinkler Irrigation,Bajra
Maharashtra,Mumbai,Sandy,Coffee,March-April,5.9098,21.6,694.9,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Bajra
Gujarat,Surat,Black,Wheat,March-April,5.231,37.8,215.0,Urea,Chlorpyrifos,Sprinkler Irrigation,Wheat
Karnataka,Bangalore,Loamy,Bajra,August-September,5.9098,24.4,802.8,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Rajasthan,Jodhpur,Black,Coffee,March-April,5.9098,13.8,143.5,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Wheat
Karnataka,Bangalore,Loamy,Coffee,December-January,5.9098,32.2,626.8,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Pulses
Punjab,Amritsar,Laterite,Coffee,March-April,5.9098,25.3,530.4,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Mixed Vegetables
Gujarat,Vadodara,Black,Tea,September-October,5.9098,42.8,295.2,Organic Compost,Thiamethoxam,Drip Irrigation,Wheat
